iter	Passed	Remaining
304	1049	2391
305	1052	2387
306	1057	2386
307	1060	2382
308	1063	2378
309	1066	2374
310	1069	2370
311	1073	2367
312	1076	2363
313	1079	2359
314	1083	2355
315	1086	2351
316	1090	2349
317	1093	2345
318	1096	2341
319	1100	2338
320	1105	2337
321	1108	2333
322	1110	2328
323	1114	2324
324	1117	2320
325	1120	2316
326	1123	2313
327	1127	2309
328	1130	2305
329	1134	2302
330	1137	2299
331	1140	2295
332	1143	2290
333	1146	2286
334	1149	2281
335	1152	2277
336	1155	2273
337	1158	2268
338	1161	2263
339	1163	2259
340	1167	2255
341	1171	2253
342	1174	2249
343	1176	2244
344	1180	2240
345	1183	2237
346	1187	2234
347	1190	2229
348	1192	2225
349	1196	2221
350	1199	2216
351	1202	2214
352	1205	2210
353	1208	2205
354	1211	2200
355	1214	2196
356	1217	2193
357	1221	2190
358	1224	2186
359	1227	2182
360	1230	2177
361	1233	2174
362	1237	2171
363	1240	2167
364	1243	2162
365	1246	2158
366	1249	2155
367	1253	2152
368	1256	2148
369	1259	2144
370	1263	2141
371	1266	2138
372	1270	2134
373	1272	2130
374	1275	2125
375	1278	2122
376	1282	2119
377	1286	2116
378	1289	2112
379	1292	2108
380	1295	2103
381	1298	2101
382	1303	2099
383	1306	2095
384	1310	2092
385	1315	2091
386	1353	2144
387	1357	2140
388	1364	2143
389	1368	2140
390	1371	2135
391	1374	2132
392	1378	2129
393	1382	2125
394	1385	2121
395	1388	2117
396	1391	2112
397	1395	2110
398	1398	2105
399	1400	2101
400	1403	2096
401	1406	2092
402	1411	2090
403	1414	2086
404	1416	2081
405	1419	2076
406	1422	2072
407	1426	2069
408	1429	2065
409	1431	2060
410	1434	2056
411	1437	2051
412	1441	2048
413	1444	2044
414	1447	2039
415	1449	2035
416	1452	2030
417	1455	2026
418	1459	2023
419	1462	2019
420	1465	2015
421	1468	2011
422	1471	2007
423	1474	2003
424	1478	1999
425	1481	1995
426	1483	1991
427	1487	1988
428	1491	1985
429	1494	1980
430	1497	1976
431	1500	1972
432	1504	1969
433	1507	1966
434	1510	1961
435	1513	1957
436	1516	1953
437	1519	1950
438	1523	1946
439	1525	1942
440	1528	1938
441	1531	1933
442	1534	1929
443	1538	1926
444	1541	1922
445	1544	1918
446	1549	1916
447	1553	1913
448	1556	1910
449	1561	1907
450	1564	1904
451	1568	1901
452	1572	1898
453	1575	1894
454	1579	1892
455	1582	1888
456	1586	1885
457	1590	1882
458	1594	1878
459	1596	1874
460	1599	1870
461	1603	1867
462	1606	1863
463	1610	1860
464	1612	1855
465	1615	1851
466	1618	1847
467	1621	1843
468	1624	1839
469	1627	1835
470	1629	1830
471	1633	1827
472	1636	1823
473	1639	1819
474	1642	1815
475	1645	1811
476	1649	1808
477	1652	1804
478	1655	1800
479	1658	1796
480	1660	1792
481	1663	1788
482	1667	1784
483	1670	1780
484	1673	1776
485	1676	1772
486	1679	1768
487	1681	1764
488	1684	1760
489	1687	1756
490	1689	1751
491	1693	1748
492	1697	1745
493	1700	1741
494	1703	1738
495	1706	1733
496	1709	1729
497	1712	1725
498	1715	1722
499	1718	1718
500	1721	1714
501	1724	1710
502	1727	1706
503	1731	1703
504	1734	1699
505	1736	1695
506	1739	1691
507	1742	1687
508	1745	1683
509	1748	1680
510	1751	1676
511	1755	1672
512	1758	1669
513	1760	1665
514	1764	1661
515	1767	1657
516	1770	1654
517	1773	1650
518	1775	1645
519	1779	1642
520	1782	1638
521	1785	1634
522	1787	1630
523	1791	1627
524	1794	1623
525	1797	1619
526	1800	1615
527	1803	1611
528	1805	1607
529	1809	1604
530	1812	1600
531	1815	1596
532	1817	1592
533	1820	1589
534	1824	1585
535	1827	1582
536	1830	1578
537	1833	1574
538	1836	1570
539	1839	1566
540	1842	1562
541	1845	1559
542	1848	1556
543	1852	1552
544	1854	1548
545	1857	1544
546	1861	1541
547	1863	1537
548	1866	1533
549	1869	1529
550	1872	1526
551	1875	1522
552	1879	1519
553	1882	1515
554	1885	1511
555	1888	1507
556	1890	1503
557	1894	1500
558	1897	1497
559	1901	1493
560	1904	1490
561	1906	1486
562	1910	1482
563	1913	1479
564	1916	1475
565	1919	1471
566	1922	1467
567	1925	1464
568	1928	1461
569	1931	1457
570	1934	1453
571	1937	1449
572	1941	1446
573	1944	1443
574	1947	1439
575	1949	1435
576	1952	1431
577	1955	1428
578	1959	1425
579	1962	1421
580	1965	1417
581	1968	1414
582	1972	1410
583	1976	1407
584	1979	1404
585	1982	1400
586	1985	1396
587	1988	1392
588	1991	1389
589	1995	1386
590	1998	1382
591	2001	1379
592	2003	1375
593	2007	1372
594	2011	1369
595	2015	1365
596	2017	1362
597	2020	1358
598	2024	1355
599	2027	1351
600	2030	1347
601	2033	1344
602	2035	1340
603	2039	1337
604	2043	1333
605	2045	1330
606	2048	1326
607	2051	1322
608	2055	1319
609	2058	1316
610	2061	1312
611	2063	1308
612	2066	1304
613	2070	1301
614	2073	1298
615	2077	1294
616	2079	1291
617	2082	1287
618	2085	1283
619	2089	1280
620	2092	1276
621	2095	1273
622	2098	1270
623	2101	1266
624	2106	1263
625	2109	1260
626	2112	1256
627	2115	1253
628	2118	1249
629	2122	1246
630	2125	1243
631	2128	1239
632	2131	1235
633	2134	1232
634	2138	1229
635	2142	1226
636	2145	1222
637	2148	1219
638	2152	1216
639	2155	1212
640	2158	1208
641	2161	1205
642	2165	1202
643	2169	1199
644	2172	1195
645	2175	1191
646	2177	1188
647	2180	1184
648	2184	1181
649	2187	1177
650	2190	1174
651	2193	1170
652	2196	1167
653	2199	1163
654	2202	1160
655	2205	1156
656	2208	1153
657	2212	1149
658	2215	1146
659	2219	1143
660	2221	1139
661	2225	1136
662	2227	1132
663	2231	1128
664	2234	1125
665	2237	1121
666	2240	1118
667	2243	1114
668	2245	1111
669	2249	1107
670	2253	1104
671	2256	1101
672	2259	1097
673	2262	1094
674	2266	1091
675	2269	1087
676	2271	1083
677	2274	1080
678	2277	1076
679	2282	1073
680	2284	1070
681	2287	1066
682	2290	1063
683	2293	1059
684	2297	1056
685	2301	1053
686	2303	1049
687	2307	1046
688	2309	1042
689	2313	1039
690	2316	1035
691	2319	1032
692	2322	1028
693	2324	1025
694	2328	1021
695	2331	1018
696	2334	1014
697	2337	1011
698	2340	1007
699	2342	1004
700	2347	1001
701	2350	997
702	2352	993
703	2355	990
704	2358	986
705	2362	983
706	2365	980
707	2368	977
708	2372	973
709	2375	970
710	2379	967
711	2383	963
712	2385	960
713	2388	956
714	2391	953
715	2395	950
716	2399	946
717	2402	943
718	2405	939
719	2407	936
720	2411	933
721	2414	929
722	2417	926
723	2419	922
724	2422	919
725	2426	915
726	2429	912
727	2432	909
728	2435	905
729	2438	901
730	2442	898
731	2445	895
732	2448	891
733	2450	888
734	2453	884
735	2455	880
736	2459	877
737	2462	874
738	2464	870
739	2467	867
740	2470	863
741	2472	859
742	2476	856
743	2479	853
744	2482	849
745	2485	846
746	2487	842
747	2491	839
748	2494	836
749	2497	832
750	2501	829
751	2503	825
752	2507	822
753	2511	819
754	2517	816
755	2521	813
756	2525	810
757	2528	807
758	2532	804
759	2535	800
760	2539	797
761	2541	793
762	2545	790
763	2548	787
764	2551	783
765	2555	780
766	2557	777
767	2560	773
768	2563	770
769	2566	766
770	2570	763
771	2573	760
772	2576	756
773	2578	753
774	2582	749
775	2585	746
776	2588	742
777	2591	739
778	2594	735
779	2597	732
780	2601	729
781	2604	726
782	2607	722
783	2610	719
784	2613	715
785	2615	712
786	2618	708
787	2621	705
788	2623	701
789	2626	698
790	2629	694
791	2632	691
792	2635	687
793	2637	684
794	2640	680
795	2643	677
796	2646	674
797	2649	670
798	2653	667
799	2656	664
800	2659	660
801	2662	657
802	2665	653
803	2668	650
804	2671	647
805	2674	643
806	2677	640
807	2679	636
808	2682	633
809	2684	629
810	2689	626
811	2691	623
812	2694	619
813	2696	616
814	2699	612
815	2703	609
816	2706	606
817	2709	602
818	2712	599
819	2715	596
820	2718	592
821	2720	589
822	2723	585
823	2725	582
824	2727	578
825	2730	575
826	2732	571
827	2737	568
828	2740	565
829	2742	561
830	2745	558
831	2748	554
832	2751	551
833	2754	548
834	2758	545
835	2761	541
836	2764	538
837	2767	534
838	2769	531
839	2772	528
840	2775	524
841	2778	521
842	2780	517
843	2784	514
844	2787	511
845	2789	507
846	2793	504
847	2796	501
848	2798	497
849	2801	494
850	2804	491
851	2807	487
852	2809	484
853	2813	481
854	2817	477
855	2821	474
856	2824	471
857	2826	467
858	2829	464
859	2832	461
860	2836	457
861	2838	454
862	2841	451
863	2845	447
864	2849	444
865	2852	441
866	2855	437
867	2857	434
868	2860	431
869	2863	427
870	2867	424
871	2870	421
872	2873	417
873	2875	414
874	2878	411
875	2882	407
876	2885	404
877	2887	401
878	2890	397
879	2893	394
880	2897	391
881	2901	388
882	2905	384
883	2908	381
884	2912	378
885	2915	375
886	2918	371
887	2921	368
888	2923	365
889	2926	361
890	2932	358
891	2935	355
892	2937	352
893	2950	349
894	2956	346
895	2960	343
896	2965	340
897	2967	337
898	2969	333
899	2972	330
900	2975	326
901	2980	323
902	2983	320
903	2985	317
904	2988	313
905	2991	310
906	2995	307
907	2998	303
908	3001	300
909	3004	297
910	3007	293
911	3010	290
912	3014	287
913	3017	283
914	3020	280
915	3024	277
916	3028	274
917	3030	270
918	3033	267
919	3036	264
920	3039	260
921	3043	257
922	3046	254
923	3050	250
924	3053	247
925	3056	244
926	3060	240
927	3063	237
928	3065	234
929	3068	230
930	3071	227
931	3073	224
932	3077	220
933	3080	217
934	3083	214
935	3086	211
936	3089	207
937	3093	204
938	3097	201
939	3100	197
940	3103	194
941	3105	191
942	3109	187
943	3112	184
944	3115	181
945	3118	177
946	3120	174
947	3123	171
948	3127	168
949	3130	164
950	3133	161
951	3136	158
952	3139	154
953	3142	151
954	3145	148
955	3148	144
956	3151	141
957	3154	138
958	3157	134
959	3159	131
960	3163	128
961	3166	125
962	3169	121
963	3172	118
964	3176	115
965	3180	111
966	3182	108
967	3186	105
968	3189	102
969	3191	98
970	3195	95
971	3197	92
972	3200	88
973	3204	85
974	3208	82
975	3210	78
976	3213	75
977	3216	72
978	3219	69
979	3222	65
980	3226	62
981	3229	59
982	3232	55
983	3234	52
984	3237	49
985	3241	46
986	3244	42
987	3247	39
988	3249	36
989	3252	32
990	3255	29
991	3258	26
992	3260	22
993	3264	19
994	3267	16
995	3270	13
996	3273	9
997	3276	6
998	3279	3
999	3283	0
