iter	Logloss
0	0.6624086144
1	0.6337921599
2	0.6084590893
3	0.5856363065
4	0.5653232487
5	0.5459926342
6	0.5283748576
7	0.5117393875
8	0.4977933714
9	0.4852610393
10	0.4729845054
11	0.461522976
12	0.4513486204
13	0.4412919493
14	0.4329607336
15	0.4248704184
16	0.4174905904
17	0.4105688992
18	0.4046110752
19	0.3981026728
20	0.3921861667
21	0.3869154245
22	0.3818835849
23	0.3780909938
24	0.3739572409
25	0.370042598
26	0.366294014
27	0.3625490813
28	0.3594051767
29	0.3570742023
30	0.3537520152
31	0.3511212633
32	0.3483912423
33	0.3462449815
34	0.3436817177
35	0.3413496848
36	0.338859168
37	0.3373145091
38	0.335035277
39	0.3330874086
40	0.331784709
41	0.329962218
42	0.327863279
43	0.3266454151
44	0.325551456
45	0.3243124084
46	0.3229514208
47	0.3222813898
48	0.3212459923
49	0.3196698805
50	0.3189742669
51	0.318104088
52	0.3172518713
53	0.3162432375
54	0.3154447715
55	0.3145801536
56	0.313996693
57	0.3133645951
58	0.312306153
59	0.3117261976
60	0.3110391448
61	0.3105335654
62	0.3099564715
63	0.3087021394
64	0.3079306198
65	0.3072880809
66	0.3064990665
67	0.3057652267
68	0.3052183997
69	0.3044290961
70	0.3034714122
71	0.3029001717
72	0.3023445634
73	0.301987657
74	0.3011692646
75	0.3007905997
76	0.3000813737
77	0.2993088929
78	0.2987473119
79	0.2980501717
80	0.2973788617
81	0.2970189749
82	0.2965137908
83	0.2960745761
84	0.2955737496
85	0.2949742579
86	0.2945806588
87	0.2938838809
88	0.2933986303
89	0.2931039492
90	0.2923629943
91	0.2919662996
92	0.2914474824
93	0.291139024
94	0.2906700699
95	0.2902513918
96	0.289790979
97	0.2892469197
98	0.2888395924
99	0.2885177674
100	0.2882345195
101	0.2877690662
102	0.2872928247
103	0.2868975097
104	0.2862627532
105	0.2859946708
106	0.2855408879
107	0.2851722742
108	0.2845009444
109	0.284191445
110	0.2836632528
111	0.2832845805
112	0.2829460189
113	0.2826827348
114	0.2824222602
115	0.2821430095
116	0.281841857
117	0.2816136916
118	0.2813694421
119	0.2810812627
120	0.2804796595
121	0.2802063863
122	0.2796717947
123	0.2792388163
124	0.2789032371
125	0.2784484307
126	0.2780851913
127	0.277939413
128	0.2776656549
129	0.2774201018
130	0.2771529208
131	0.2768687083
132	0.2766261215
133	0.276332681
134	0.2758630432
135	0.2754416665
136	0.2752736484
137	0.2749505024
138	0.274452888
139	0.2736844899
140	0.2733163315
141	0.2729203812
142	0.2726193395
143	0.2722990367
144	0.2720703195
145	0.2716998917
146	0.2714491221
147	0.2713024605
148	0.2711621195
149	0.270986327
150	0.2705059804
151	0.270231436
152	0.2700267447
153	0.2696203343
154	0.2691858734
155	0.2689684091
156	0.2687766153
157	0.2684752809
158	0.2681652485
159	0.2678700475
160	0.2676046631
161	0.2673625558
162	0.2668853231
163	0.2667239146
164	0.2665623475
165	0.266307151
166	0.266183728
167	0.2659213341
168	0.2655681587
169	0.2652959781
170	0.2648841711
171	0.2645650212
172	0.264181567
173	0.2639153327
174	0.2637394891
175	0.2634805246
176	0.2631792531
177	0.2628582296
178	0.2625721891
179	0.2624040111
180	0.2622164975
181	0.2619576061
182	0.2617377892
183	0.2616129411
184	0.2614704888
185	0.2612843645
186	0.2610190881
187	0.2607521396
188	0.2605328912
189	0.260212286
190	0.2601026714
191	0.2599555643
192	0.2596561312
193	0.2594484134
194	0.2592813721
195	0.2590309998
196	0.2587313656
197	0.2584681155
198	0.2581631509
199	0.2579984242
200	0.2577258827
201	0.2574811867
202	0.2571551027
203	0.2570327105
204	0.256820829
205	0.2566032816
206	0.2564475716
207	0.2562987583
208	0.2561209717
209	0.255762347
210	0.2555743132
211	0.2553712155
212	0.2552590806
213	0.2550539051
214	0.2549183968
215	0.2545822807
216	0.2542625706
217	0.2539969518
218	0.2537199775
219	0.2534563655
220	0.2532678559
221	0.2530783286
222	0.2528640211
223	0.2527130433
224	0.2524236348
225	0.2521265913
226	0.252003063
227	0.2519000797
228	0.2516118798
229	0.2514148405
230	0.2511921894
231	0.2510472783
232	0.2508437773
233	0.250731441
234	0.2506214915
235	0.2504621766
236	0.250217878
237	0.2500389041
238	0.2497329623
239	0.2496116558
240	0.2493832097
241	0.2492459239
242	0.2490980489
243	0.2487168905
244	0.2485734423
245	0.2484269405
246	0.2483014969
247	0.2481665991
248	0.2479348574
249	0.2478405067
250	0.2474804443
251	0.2473295547
252	0.2470893745
253	0.246890486
254	0.2467379831
255	0.2465399341
256	0.2462791791
257	0.2461911676
258	0.2459624959
259	0.2457299811
260	0.2455037167
261	0.2452362793
262	0.2450861187
263	0.2448473981
264	0.2446914438
265	0.2445182482
266	0.2443495795
267	0.2441299323
268	0.2439469489
269	0.2438327513
270	0.2437605383
271	0.2435573331
272	0.2433016856
273	0.2430120179
274	0.2427622288
275	0.2425407128
276	0.2423083767
277	0.2421228328
278	0.2418681699
279	0.2416318546
280	0.2413820048
281	0.2412984444
282	0.2411200105
283	0.2409717261
284	0.2406835562
285	0.2405011386
286	0.2403229602
287	0.2400080268
288	0.2398674645
289	0.2397604992
290	0.2396293181
291	0.239373227
292	0.2392556258
293	0.239116022
294	0.2388947938
295	0.2387962139
296	0.2385634339
297	0.2383055136
298	0.2381208251
299	0.2379420286
300	0.237825255
301	0.2375887036
302	0.2374689128
303	0.2372947321
304	0.2371510752
305	0.2369113093
306	0.2365875784
307	0.2364334312
308	0.2362365088
309	0.2360623203
310	0.2359041781
311	0.2357119575
312	0.2355018072
313	0.2352130521
314	0.2350661025
315	0.234884248
316	0.2346614414
317	0.2345005601
318	0.2342963183
319	0.2341004327
320	0.2340147178
321	0.2338225313
322	0.2335043182
323	0.2332378316
324	0.2330249932
325	0.2328440918
326	0.2326517735
327	0.2325225047
328	0.2323431399
329	0.2322176775
330	0.2318876508
331	0.2317700205
332	0.2316650618
333	0.2314153211
334	0.2311935556
335	0.2310118082
336	0.2309018482
337	0.2306781021
338	0.2304480065
339	0.2303359629
340	0.2301744982
341	0.2299426758
342	0.2297949412
343	0.2295821283
344	0.2293208734
345	0.2290030659
346	0.2288530455
347	0.228732119
348	0.2286003342
349	0.2284982228
350	0.2282838428
351	0.2281706865
352	0.2279986787
353	0.2278285689
354	0.2276262817
355	0.227422589
356	0.2272551898
357	0.226956972
358	0.2268433371
359	0.2266348179
360	0.2263646195
361	0.2262199019
362	0.2260904042
363	0.2259032109
364	0.2257059119
365	0.2255564902
366	0.2254657077
367	0.2252381053
368	0.2250843643
369	0.2249302975
370	0.2247326957
371	0.2245247101
372	0.2243013101
373	0.2241108029
374	0.2237776365
375	0.2233270826
376	0.2231528695
377	0.2228604863
378	0.2226436538
379	0.222465355
380	0.2222725601
381	0.2221196407
382	0.2219381571
383	0.2217381202
384	0.2215599422
385	0.2212777924
386	0.2211354985
387	0.2210020736
388	0.2208484337
389	0.2207024366
390	0.2205583414
391	0.2203366611
392	0.22010673
393	0.2199766401
394	0.219733392
395	0.2196013491
396	0.219429742
397	0.219227995
398	0.219034047
399	0.2187282143
400	0.2185893469
401	0.2184357698
402	0.2183231549
403	0.2181818551
404	0.217996207
405	0.2178393024
406	0.2176244055
407	0.2174910652
408	0.2173552144
409	0.217206746
410	0.217059805
411	0.2169399295
412	0.2168113237
413	0.2166524109
414	0.2165222213
415	0.2163615276
416	0.2162144836
417	0.216045223
418	0.2159165744
419	0.2157460168
420	0.2155564264
421	0.2154410585
422	0.2150773588
423	0.2149347649
424	0.2145791459
425	0.2144736634
426	0.2143109148
427	0.2140786617
428	0.2139564694
429	0.213727546
430	0.2136385097
431	0.2135147874
432	0.2133913052
433	0.213172155
434	0.2129951154
435	0.2128801919
436	0.2127758891
